unique_id,yt_id,shot_id,start,end,audio_description,file_path
341,IhTgiNhfF7k,0,17.521847066852406,19.52184706685241,He plants a big kiss on her lips.,IhTgiNhfF7k/341_IhTgiNhfF7k_0.mp4
342,IhTgiNhfF7k,1,57.79858082370335,62.09797926957455,"Leading Nanuchka across the room, Leon stands her against an ornate wool panel.",IhTgiNhfF7k/342_IhTgiNhfF7k_1.mp4
343,IhTgiNhfF7k,2,65.67681372672621,70.73575257679622,He removes a cloth napkin wrapped around a champagne bottle and ties it around her head like a blindfold.,IhTgiNhfF7k/343_IhTgiNhfF7k_2.mp4
344,IhTgiNhfF7k,3,75.37494541401955,77.77449345412666,"As she stands obediently, he kisses her once.",IhTgiNhfF7k/344_IhTgiNhfF7k_3.mp4
345,IhTgiNhfF7k,4,78.34214996673754,81.88100861314194,Then takes wobbling steps back to the table where the champagne bottle stands.,IhTgiNhfF7k/345_IhTgiNhfF7k_4.mp4
346,IhTgiNhfF7k,5,85.1610238849576,88.44003976150438,He peels off the foil and untwists the wire around the cork.,IhTgiNhfF7k/346_IhTgiNhfF7k_5.mp4
347,IhTgiNhfF7k,6,90.95951523385234,93.93971192506312,Nenotchka slides down the wall and lands in a heap on the floor.,IhTgiNhfF7k/347_IhTgiNhfF7k_6.mp4
348,bXzp-98u468,0,91.80003607274146,93.80003607274146,He decks him.,bXzp-98u468/348_bXzp-98u468_0.mp4
362,4IErqIMLwtQ,0,0.9604952887147928,2.960495288714793,The munchkins scatter.,4IErqIMLwtQ/362_4IErqIMLwtQ_0.mp4
363,4IErqIMLwtQ,1,2.682074178307251,8.536216016825136,"Some throw themselves to the ground as a witch appears in a puff of red smoke, looking like Miss Gulch with a green face.",4IErqIMLwtQ/363_4IErqIMLwtQ_1.mp4
364,4IErqIMLwtQ,2,8.57801638696827,11.42253157519497,She goes over to the legs sticking out from under the house.,4IErqIMLwtQ/364_4IErqIMLwtQ_2.mp4
365,4IErqIMLwtQ,3,42.68248973763174,44.68248973763174,She returns to the legs.,4IErqIMLwtQ/365_4IErqIMLwtQ_3.mp4
366,4IErqIMLwtQ,4,44.53267862108337,46.53267862108337,The shiny red shoes disappear.,4IErqIMLwtQ/366_4IErqIMLwtQ_4.mp4
367,4IErqIMLwtQ,5,46.65083852240693,49.26440666559391,The legs shrivel and slide backwards under the house.,4IErqIMLwtQ/367_4IErqIMLwtQ_5.mp4
368,4IErqIMLwtQ,6,59.84617036727785,62.398082964504034,"Dorothy looks down, shocked to find she's wearing them.",4IErqIMLwtQ/368_4IErqIMLwtQ_6.mp4
369,4IErqIMLwtQ,7,103.61429293469143,107.54666275588797,The Wicked Witch disappears in a puff of red smoke and a burst of flames.,4IErqIMLwtQ/369_4IErqIMLwtQ_7.mp4
379,BZSb0JCWcXk,0,14.53788811351189,16.839367098343438,"In black and white, Dorothy wakes up on her bed.",BZSb0JCWcXk/379_BZSb0JCWcXk_0.mp4
380,BZSb0JCWcXk,1,17.062746367983586,19.062746367983586,Auntie Em has placed a cloth on her head.,BZSb0JCWcXk/380_BZSb0JCWcXk_1.mp4
400,gXRw45jyIsE,0,41.72207883155433,43.72207883155433,Tracy pins up her thick hair.,gXRw45jyIsE/400_gXRw45jyIsE_0.mp4
401,gXRw45jyIsE,1,72.81239462816589,75.0721791934969,"With her hands on her hips, she stares hard at him.",gXRw45jyIsE/401_gXRw45jyIsE_1.mp4
402,gXRw45jyIsE,2,124.5195458643507,126.5195458643507,Dexter casually sips his juice.,gXRw45jyIsE/402_gXRw45jyIsE_2.mp4
423,WCl3EnHnm_c,0,12.242500000000293,14.242500000000293,"Batchfully, she looks into her glass.",WCl3EnHnm_c/423_WCl3EnHnm_c_0.mp4
424,WCl3EnHnm_c,1,50.7175000000002,52.7175000000002,She turns to him.,WCl3EnHnm_c/424_WCl3EnHnm_c_1.mp4
425,WCl3EnHnm_c,2,70.42400000000043,72.42400000000043,He clutches her to him.,WCl3EnHnm_c/425_WCl3EnHnm_c_2.mp4
426,WCl3EnHnm_c,3,82.65599999999995,84.65599999999995,His trembling hands release her.,WCl3EnHnm_c/426_WCl3EnHnm_c_3.mp4
427,WCl3EnHnm_c,4,107.76900000000025,109.96900000000004,"Leaning on a column, she turns her back to him.",WCl3EnHnm_c/427_WCl3EnHnm_c_4.mp4
428,WCl3EnHnm_c,5,116.30099999999992,118.30099999999992,He grabs her and kisses her forcefully.,WCl3EnHnm_c/428_WCl3EnHnm_c_5.mp4
429,WCl3EnHnm_c,6,121.48499999999969,126.08700000000044,"Catching her breath, she kisses him, wrapping her arms around his neck as he caresses her back.",WCl3EnHnm_c/429_WCl3EnHnm_c_6.mp4
453,fr93wwtiKQM,0,42.8597680542216,44.8597680542216,The reporters leave.,fr93wwtiKQM/453_fr93wwtiKQM_0.mp4
454,fr93wwtiKQM,1,49.52714900637442,54.28111509902932,"Somewhere on the property, thousands upon thousands of crates and boxes are piled up.",fr93wwtiKQM/454_fr93wwtiKQM_1.mp4
455,fr93wwtiKQM,2,55.08279572173696,58.03197831252132,"Statues and furniture, artifacts and ornaments.",fr93wwtiKQM/455_fr93wwtiKQM_2.mp4
456,fr93wwtiKQM,3,67.50082856747528,72.85605512716114,"A large globe, suits of armour, beautiful pottery and a bedstead in pieces.",fr93wwtiKQM/456_fr93wwtiKQM_3.mp4
